Date,Principal ID,Principal Type,Event,Detail
20201014T141410.665,teacher_23,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141413.598,sre,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141416.989,info,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141420.030,admin,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141422.558,864935,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141426.039,Ed1945,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141428.090,Gitlab,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141431.415,Rd5008,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141435.786,1289865,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141438.606,1478569,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141441.442,4487953,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141444.064,8649351,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141447.063,Grafana,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141450.700,noreply,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141454.112,support,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141456.800,00000000,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141500.677,02626772,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
